testletid,itemid,alphabet,A,B,C,D
49,101,Latin,a,b,j,k
49,102,Latin,c d,c d d,j k,j k k
49,1001,Latin,a b,a c,g h,g i
49,1002,Latin,c d,c c e e,i j,i i k k
49,1003,Latin,e f,e h,i j,i l
49,1004,Latin,d e,d f f,g h,g i i
49,1005,Latin,d e,c e,k k l l,j j l l
49,1001,Greek,alpha beta,alpha gamma,zeta eta,zeta theta
49,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
49,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
49,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu
49,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
49,1001,Symbol,* @,* %,~ $,~ {
49,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
49,1003,Symbol,! ^,! ~,^ #,^ $
49,1004,Symbol,! ^,! # #,$ {,$ = =
49,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
