testletid,itemid,alphabet,A,B,C,D
23,101,Latin,a,b,j,k
23,102,Latin,c d,c d d,j k,j k k
23,1001,Latin,b c,b d,f g,f h
23,1002,Latin,c d,c c e e,m n,m m o o
23,1003,Latin,e f,e h,k l,k n
23,1004,Latin,d e,d f f,i j,i k k
23,1005,Latin,d e,c e,k k l l,j j l l
23,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
23,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
23,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
23,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu
23,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
23,1001,Symbol,@ %,@ !,# ~,# $
23,1002,Symbol,% !,% % ^ ^,= :,= = ) )
23,1003,Symbol,@ %,@ ^,# ~,# {
23,1004,Symbol,^ #,^ ~ ~,{ =,{ : :
23,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
