testletid,itemid,alphabet,A,B,C,D
36,101,Latin,a,b,j,k
36,102,Latin,c d,c d d,j k,j k k
36,1001,Latin,b c,b d,f g,f h
36,1002,Latin,c d,c c e e,m n,m m o o
36,1003,Latin,e f,e h,k l,k n
36,1004,Latin,b c,b d d,g h,g i i
36,1005,Latin,c d,b d,m m n n,l l n n
36,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
36,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
36,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
36,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda
36,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi
36,1001,Symbol,@ %,@ !,# ~,# $
36,1002,Symbol,% !,% % ^ ^,= :,= = ) )
36,1003,Symbol,@ %,@ ^,# ~,# {
36,1004,Symbol,% !,% ^ ^,~ $,~ { {
36,1005,Symbol,^ #,! #,= = : :,{ { : :
