testletid,itemid,alphabet,A,B,C,D
39,101,Latin,a,b,j,k
39,102,Latin,c d,c d d,j k,j k k
39,1001,Latin,a b,a c,e f,e g
39,1002,Latin,c d,c c e e,i j,i i k k
39,1003,Latin,e f,e h,i j,i l
39,1004,Latin,d e,d f f,g h,g i i
39,1005,Latin,c d,b d,j j k k,i i k k
39,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta
39,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
39,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
39,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu
39,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
39,1001,Symbol,* @,* %,^ #,^ ~
39,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
39,1003,Symbol,! ^,! ~,^ #,^ $
39,1004,Symbol,! ^,! # #,$ {,$ = =
39,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
