testletid,itemid,alphabet,A,B,C,D
41,101,Latin,a,b,j,k
41,102,Latin,c d,c d d,j k,j k k
41,1001,Latin,c d,c e,g h,g i
41,1002,Latin,c d,c c e e,i j,i i k k
41,1003,Latin,c d,c f,g h,g j
41,1004,Latin,a b,a c c,f g,f h h
41,1005,Latin,e f,d f,l l m m,k k m m
41,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa
41,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
41,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta
41,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa
41,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota
41,1001,Symbol,% !,% ^,~ $,~ {
41,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
41,1003,Symbol,@ %,@ ^,% !,% #
41,1004,Symbol,@ %,@ ! !,# ~,# $ $
41,1005,Symbol,^ #,! #,{ { = =,$ $ = =
