testletid,itemid,alphabet,A,B,C,D
38,101,Latin,a,b,j,k
38,102,Latin,c d,c d d,j k,j k k
38,1001,Latin,e f,e g,i j,i k
38,1002,Latin,d e,d d f f,j k,j j l l
38,1003,Latin,e f,e h,i j,i l
38,1004,Latin,e f,e g g,j k,j l l
38,1005,Latin,c d,b d,m m n n,l l n n
38,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu
38,1002,Greek,gamma delta,gamma gamma epsilon epsilon,iota kappa,iota iota lambda lambda
38,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
38,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
38,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi
38,1001,Symbol,^ #,^ ~,{ =,{ :
38,1002,Symbol,% !,% % ^ ^,# ~,# # $ $
38,1003,Symbol,! ^,! ~,^ #,^ $
38,1004,Symbol,# ~,# $ $,= :,= ) )
38,1005,Symbol,^ #,! #,= = : :,{ { : :
