testletid,itemid,alphabet,A,B,C,D
2,101,Latin,a,b,j,k
2,102,Latin,c d,c d d,j k,j k k
2,1001,Latin,b c,b d,f g,f h
2,1002,Latin,c d,c c e e,i j,i i k k
2,1003,Latin,d e,d g,h i,h k
2,1004,Latin,b c,b d d,g h,g i i
2,1005,Latin,d e,c e,k k l l,j j l l
2,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
2,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
2,1003,Greek,beta gamma,beta epsilon,zeta eta,zeta iota
2,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda
2,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
2,1001,Symbol,@ %,@ !,# ~,# $
2,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
2,1003,Symbol,% !,% #,! ^,! ~
2,1004,Symbol,% !,% ^ ^,~ $,~ { {
2,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
