testletid,itemid,alphabet,A,B,C,D
42,101,Latin,a,b,j,k
42,102,Latin,c d,c d d,j k,j k k
42,1001,Latin,e f,e g,i j,i k
42,1002,Latin,c d,c c e e,m n,m m o o
42,1003,Latin,e f,e h,k l,k n
42,1004,Latin,e f,e g g,j k,j l l
42,1005,Latin,d e,c e,k k l l,j j l l
42,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu
42,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
42,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
42,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
42,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
42,1001,Symbol,^ #,^ ~,{ =,{ :
42,1002,Symbol,% !,% % ^ ^,= :,= = ) )
42,1003,Symbol,@ %,@ ^,# ~,# {
42,1004,Symbol,# ~,# $ $,= :,= ) )
42,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
