testletid,itemid,alphabet,A,B,C,D
50,101,Latin,a,b,j,k
50,102,Latin,c d,c d d,j k,j k k
50,1001,Latin,c d,c e,g h,g i
50,1002,Latin,c d,c c e e,i j,i i k k
50,1003,Latin,d e,d g,h i,h k
50,1004,Latin,e f,e g g,j k,j l l
50,1005,Latin,c d,b d,j j k k,i i k k
50,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa
50,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
50,1003,Greek,beta gamma,beta epsilon,zeta eta,zeta iota
50,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
50,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
50,1001,Symbol,% !,% ^,~ $,~ {
50,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
50,1003,Symbol,% !,% #,! ^,! ~
50,1004,Symbol,# ~,# $ $,= :,= ) )
50,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
