testletid,itemid,alphabet,A,B,C,D
8,101,Latin,a,b,j,k
8,102,Latin,c d,c d d,j k,j k k
8,1001,Latin,a b,a c,e f,e g
8,1002,Latin,c d,c c e e,i j,i i k k
8,1003,Latin,e f,e h,i j,i l
8,1004,Latin,a b,a c c,f g,f h h
8,1005,Latin,c d,b d,j j k k,i i k k
8,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta
8,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
8,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
8,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa
8,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
8,1001,Symbol,* @,* %,^ #,^ ~
8,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
8,1003,Symbol,! ^,! ~,^ #,^ $
8,1004,Symbol,@ %,@ ! !,# ~,# $ $
8,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
