testletid,itemid,alphabet,A,B,C,D
25,101,Latin,a,b,j,k
25,102,Latin,c d,c d d,j k,j k k
25,1001,Latin,c d,c e,g h,g i
25,1002,Latin,c d,c c e e,m n,m m o o
25,1003,Latin,c d,c f,g h,g j
25,1004,Latin,b c,b d d,g h,g i i
25,1005,Latin,g h,f h,n n o o,m m o o
25,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa
25,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
25,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta
25,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda
25,1005,Greek,zeta eta,epsilon eta,kappa kappa lambda lambda,iota iota lambda lambda
25,1001,Symbol,% !,% ^,~ $,~ {
25,1002,Symbol,% !,% % ^ ^,= :,= = ) )
25,1003,Symbol,@ %,@ ^,% !,% #
25,1004,Symbol,% !,% ^ ^,~ $,~ { {
25,1005,Symbol,~ $,# $,: : ) ),= = ) )
