testletid,itemid,alphabet,A,B,C,D
6,101,Latin,a,b,j,k
6,102,Latin,c d,c d d,j k,j k k
6,1001,Latin,d e,d f,h i,h j
6,1002,Latin,c d,c c e e,m n,m m o o
6,1003,Latin,e f,e h,i j,i l
6,1004,Latin,b c,b d d,g h,g i i
6,1005,Latin,c d,b d,m m n n,l l n n
6,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
6,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
6,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
6,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda
6,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi
6,1001,Symbol,! ^,! #,$ {,$ =
6,1002,Symbol,% !,% % ^ ^,= :,= = ) )
6,1003,Symbol,! ^,! ~,^ #,^ $
6,1004,Symbol,% !,% ^ ^,~ $,~ { {
6,1005,Symbol,^ #,! #,= = : :,{ { : :
