testletid,itemid,alphabet,A,B,C,D
34,101,Latin,a,b,j,k
34,102,Latin,c d,c d d,j k,j k k
34,1001,Latin,d e,d f,h i,h j
34,1002,Latin,c d,c c e e,i j,i i k k
34,1003,Latin,f g,f i,j k,j m
34,1004,Latin,d e,d f f,g h,g i i
34,1005,Latin,c d,b d,j j k k,i i k k
34,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
34,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
34,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda
34,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu
34,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
34,1001,Symbol,! ^,! #,$ {,$ =
34,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
34,1003,Symbol,^ #,^ $,# ~,# {
34,1004,Symbol,! ^,! # #,$ {,$ = =
34,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
