testletid,itemid,alphabet,A,B,C,D
10,101,Latin,a,b,j,k
10,102,Latin,c d,c d d,j k,j k k
10,1001,Latin,d e,d f,h i,h j
10,1002,Latin,c d,c c e e,m n,m m o o
10,1003,Latin,e f,e h,i j,i l
10,1004,Latin,c d,c e e,h i,h j j
10,1005,Latin,f g,e g,m m n n,l l n n
10,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
10,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
10,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
10,1004,Greek,epsilon zeta,epsilon eta eta,kappa lambda,kappa mu mu
10,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa
10,1001,Symbol,! ^,! #,$ {,$ =
10,1002,Symbol,% !,% % ^ ^,= :,= = ) )
10,1003,Symbol,! ^,! ~,^ #,^ $
10,1004,Symbol,! ^,! # #,$ {,$ = =
10,1005,Symbol,# ~,^ ~,= = : :,{ { : :
