testletid,itemid,alphabet,A,B,C,D
1,101,Latin,a,b,j,k
1,102,Latin,c d,c d d,j k,j k k
1,1001,Latin,a b,a c,e f,e g
1,1002,Latin,b c,b b d d,h i,h h j j
1,1003,Latin,c d,c f,g h,g j
1,1004,Latin,a b,a c c,f g,f h h
1,1005,Latin,c d,b d,j j k k,i i k k
1,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta
1,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota
1,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta
1,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa
1,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
1,1001,Symbol,* @,* %,^ #,^ ~
1,1002,Symbol,* @,* * % %,! ^,! ! # #
1,1003,Symbol,@ %,@ ^,% !,% #
1,1004,Symbol,@ %,@ ! !,# ~,# $ $
1,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
