testletid,itemid,alphabet,A,B,C,D
7,101,Latin,a,b,j,k
7,102,Latin,c d,c d d,j k,j k k
7,1001,Latin,b c,b d,f g,f h
7,1002,Latin,b c,b b d d,h i,h h j j
7,1003,Latin,e f,e h,i j,i l
7,1004,Latin,e f,e g g,j k,j l l
7,1005,Latin,c d,b d,m m n n,l l n n
7,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
7,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota
7,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
7,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
7,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi
7,1001,Symbol,@ %,@ !,# ~,# $
7,1002,Symbol,* @,* * % %,! ^,! ! # #
7,1003,Symbol,! ^,! ~,^ #,^ $
7,1004,Symbol,# ~,# $ $,= :,= ) )
7,1005,Symbol,^ #,! #,= = : :,{ { : :
