testletid,itemid,alphabet,A,B,C,D
43,101,Latin,a,b,j,k
43,102,Latin,c d,c d d,j k,j k k
43,1001,Latin,a b,a c,g h,g i
43,1002,Latin,c d,c c e e,i j,i i k k
43,1003,Latin,g h,g j,k l,k n
43,1004,Latin,a b,a c c,f g,f h h
43,1005,Latin,e f,d f,l l m m,k k m m
43,1001,Greek,alpha beta,alpha gamma,zeta eta,zeta theta
43,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
43,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
43,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa
43,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota
43,1001,Symbol,* @,* %,~ $,~ {
43,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
43,1003,Symbol,# ~,# {,~ $,~ =
43,1004,Symbol,@ %,@ ! !,# ~,# $ $
43,1005,Symbol,^ #,! #,{ { = =,$ $ = =
