testletid,itemid,alphabet,A,B,C,D
19,101,Latin,a,b,j,k
19,102,Latin,c d,c d d,j k,j k k
19,1001,Latin,e f,e g,i j,i k
19,1002,Latin,c d,c c e e,m n,m m o o
19,1003,Latin,f g,f i,j k,j m
19,1004,Latin,d e,d f f,g h,g i i
19,1005,Latin,f g,e g,m m n n,l l n n
19,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu
19,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
19,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda
19,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu
19,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa
19,1001,Symbol,^ #,^ ~,{ =,{ :
19,1002,Symbol,% !,% % ^ ^,= :,= = ) )
19,1003,Symbol,^ #,^ $,# ~,# {
19,1004,Symbol,! ^,! # #,$ {,$ = =
19,1005,Symbol,# ~,^ ~,= = : :,{ { : :
