testletid,itemid,alphabet,A,B,C,D
26,101,Latin,a,b,j,k
26,102,Latin,c d,c d d,j k,j k k
26,1001,Latin,e f,e g,i j,i k
26,1002,Latin,b c,b b d d,h i,h h j j
26,1003,Latin,g h,g j,k l,k n
26,1004,Latin,a b,a c c,f g,f h h
26,1005,Latin,e f,d f,l l m m,k k m m
26,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu
26,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota
26,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
26,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa
26,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota
26,1001,Symbol,^ #,^ ~,{ =,{ :
26,1002,Symbol,* @,* * % %,! ^,! ! # #
26,1003,Symbol,# ~,# {,~ $,~ =
26,1004,Symbol,@ %,@ ! !,# ~,# $ $
26,1005,Symbol,^ #,! #,{ { = =,$ $ = =
