testletid,itemid,alphabet,A,B,C,D
13,101,Latin,a,b,j,k
13,102,Latin,c d,c d d,j k,j k k
13,1001,Latin,b c,b d,f g,f h
13,1002,Latin,c d,c c e e,i j,i i k k
13,1003,Latin,g h,g j,k l,k n
13,1004,Latin,e f,e g g,j k,j l l
13,1005,Latin,c d,b d,j j k k,i i k k
13,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
13,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
13,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
13,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
13,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta
13,1001,Symbol,@ %,@ !,# ~,# $
13,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
13,1003,Symbol,# ~,# {,~ $,~ =
13,1004,Symbol,# ~,# $ $,= :,= ) )
13,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $
