testletid,itemid,alphabet,A,B,C,D
35,101,Latin,a,b,j,k
35,102,Latin,c d,c d d,j k,j k k
35,1001,Latin,d e,d f,h i,h j
35,1002,Latin,c d,c c e e,i j,i i k k
35,1003,Latin,c d,c f,g h,g j
35,1004,Latin,e f,e g g,j k,j l l
35,1005,Latin,d e,c e,k k l l,j j l l
35,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
35,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
35,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta
35,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
35,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
35,1001,Symbol,! ^,! #,$ {,$ =
35,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
35,1003,Symbol,@ %,@ ^,% !,% #
35,1004,Symbol,# ~,# $ $,= :,= ) )
35,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
