testletid,itemid,alphabet,A,B,C,D
48,101,Latin,a,b,j,k
48,102,Latin,c d,c d d,j k,j k k
48,1001,Latin,d e,d f,h i,h j
48,1002,Latin,c d,c c e e,i j,i i k k
48,1003,Latin,c d,c f,g h,g j
48,1004,Latin,d e,d f f,i j,i k k
48,1005,Latin,g h,f h,n n o o,m m o o
48,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
48,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
48,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta
48,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu
48,1005,Greek,zeta eta,epsilon eta,kappa kappa lambda lambda,iota iota lambda lambda
48,1001,Symbol,! ^,! #,$ {,$ =
48,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
48,1003,Symbol,@ %,@ ^,% !,% #
48,1004,Symbol,^ #,^ ~ ~,{ =,{ : :
48,1005,Symbol,~ $,# $,: : ) ),= = ) )
