testletid,itemid,alphabet,A,B,C,D
27,101,Latin,a,b,j,k
27,102,Latin,c d,c d d,j k,j k k
27,1001,Latin,e f,e g,i j,i k
27,1002,Latin,d e,d d f f,j k,j j l l
27,1003,Latin,g h,g j,k l,k n
27,1004,Latin,b c,b d d,g h,g i i
27,1005,Latin,d e,c e,k k l l,j j l l
27,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu
27,1002,Greek,gamma delta,gamma gamma epsilon epsilon,iota kappa,iota iota lambda lambda
27,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu
27,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda
27,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta
27,1001,Symbol,^ #,^ ~,{ =,{ :
27,1002,Symbol,% !,% % ^ ^,# ~,# # $ $
27,1003,Symbol,# ~,# {,~ $,~ =
27,1004,Symbol,% !,% ^ ^,~ $,~ { {
27,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {
