testletid,itemid,alphabet,A,B,C,D
15,101,Latin,a,b,j,k
15,102,Latin,c d,c d d,j k,j k k
15,1001,Latin,a b,a c,e f,e g
15,1002,Latin,c d,c c e e,m n,m m o o
15,1003,Latin,f g,f i,j k,j m
15,1004,Latin,e f,e g g,j k,j l l
15,1005,Latin,c d,b d,m m n n,l l n n
15,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta
15,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
15,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda
15,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi
15,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi
15,1001,Symbol,* @,* %,^ #,^ ~
15,1002,Symbol,% !,% % ^ ^,= :,= = ) )
15,1003,Symbol,^ #,^ $,# ~,# {
15,1004,Symbol,# ~,# $ $,= :,= ) )
15,1005,Symbol,^ #,! #,= = : :,{ { : :
