testletid,itemid,alphabet,A,B,C,D
29,101,Latin,a,b,j,k
29,102,Latin,c d,c d d,j k,j k k
29,1001,Latin,d e,d f,h i,h j
29,1002,Latin,c d,c c e e,m n,m m o o
29,1003,Latin,d e,d g,h i,h k
29,1004,Latin,d e,d f f,i j,i k k
29,1005,Latin,f g,e g,m m n n,l l n n
29,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
29,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
29,1003,Greek,beta gamma,beta epsilon,zeta eta,zeta iota
29,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu
29,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa
29,1001,Symbol,! ^,! #,$ {,$ =
29,1002,Symbol,% !,% % ^ ^,= :,= = ) )
29,1003,Symbol,% !,% #,! ^,! ~
29,1004,Symbol,^ #,^ ~ ~,{ =,{ : :
29,1005,Symbol,# ~,^ ~,= = : :,{ { : :
