testletid,itemid,alphabet,A,B,C,D
30,101,Latin,a,b,j,k
30,102,Latin,c d,c d d,j k,j k k
30,1001,Latin,d e,d f,h i,h j
30,1002,Latin,c d,c c e e,i j,i i k k
30,1003,Latin,f g,f i,j k,j m
30,1004,Latin,d e,d f f,g h,g i i
30,1005,Latin,f g,e g,m m n n,l l n n
30,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda
30,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa
30,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda
30,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu
30,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa
30,1001,Symbol,! ^,! #,$ {,$ =
30,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~
30,1003,Symbol,^ #,^ $,# ~,# {
30,1004,Symbol,! ^,! # #,$ {,$ = =
30,1005,Symbol,# ~,^ ~,= = : :,{ { : :
