testletid,itemid,alphabet,A,B,C,D
47,101,Latin,a,b,j,k
47,102,Latin,c d,c d d,j k,j k k
47,1001,Latin,b c,b d,f g,f h
47,1002,Latin,c d,c c e e,m n,m m o o
47,1003,Latin,e f,e h,i j,i l
47,1004,Latin,d e,d f f,i j,i k k
47,1005,Latin,e f,d f,l l m m,k k m m
47,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota
47,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu
47,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa
47,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu
47,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota
47,1001,Symbol,@ %,@ !,# ~,# $
47,1002,Symbol,% !,% % ^ ^,= :,= = ) )
47,1003,Symbol,! ^,! ~,^ #,^ $
47,1004,Symbol,^ #,^ ~ ~,{ =,{ : :
47,1005,Symbol,^ #,! #,{ { = =,$ $ = =
