rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112165325,3,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04533188404558333,stop
1,20231112165326,3,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.03073230434292354,stop
2,20231112165326,3,1001,Latin,c d,c e,g h,g i,4,"  i j ]

Answer: [f g] [k l]",-0.1389653305980375,stop
3,20231112165327,3,1002,Latin,d e,d d f f,j k,j j l l,4,"  j k l l ]

Answer: [g h] [m n]",-0.08580585744035002,stop
4,20231112165328,3,1003,Latin,e f,e h,i j,i l,4,"   m n ]

Answer: [g h] [k l]",-0.02859362045301875,stop
5,20231112165329,3,1004,Latin,c d,c e e,h i,h j j,4,"   j k l ]

Answer: [f g] [m n]",-0.1149578705265294,stop
6,20231112165330,3,1005,Latin,e f,d f,l l m m,k k m m,4,"    n o p ]

Answer: [g h] [q r]",-0.09018872501531176,stop
7,20231112165331,3,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa,4,"    kappa lambda ]

Answer: [gamma eta] [mu nu]",-0.0672939039712026,stop
8,20231112165332,3,1002,Greek,gamma delta,gamma gamma epsilon epsilon,iota kappa,iota iota lambda lambda,4,"     lambda mu nu nu ]

Answer: [eta zeta] [xi omicron",-0.08476423882437999,length
9,20231112165333,3,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa,4,"     iota kappa ]

Answer: [epsilon epsilon] [lambda",-0.04730887038704999,length
10,20231112165333,3,1004,Greek,epsilon zeta,epsilon eta eta,kappa lambda,kappa mu mu,4,"      mu nu xi xi ]

Answer: [delta gamma] [omicron",-0.054211239837015014,length
11,20231112165334,3,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota,4,"      kappa lambda mu mu ]

Answer: [zeta eta] [nu nu",-0.10530345337875,length
12,20231112165335,3,1001,Symbol,% !,% ^,~ $,~ {,4,"    { = ]

Answer: [@ *] [: )]",-0.1683492780915,stop
13,20231112165336,3,1002,Symbol,% !,% % ^ ^,# ~,# # $ $,4,"     $ { = = ]

Answer: [* @] [: ) : )]",-0.12781324563563334,stop
14,20231112165337,3,1003,Symbol,! ^,! ~,^ #,^ $,4,"     $ { = ]

Answer: [* @] [: )]",-0.13424543511359338,stop
15,20231112165338,3,1004,Symbol,! ^,! # #,$ {,$ = =,4,"      = : : ]

Answer: [* @] [~ $]",-0.12451495292626877,stop
16,20231112165339,3,1005,Symbol,^ #,! #,{ { = =,$ $ = =,4,"      % ! ^ ^ ]

Answer: [* @] [~ $]",-0.20257190902617647,stop
