rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112170235,6,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04332969175074999,stop
1,20231112170235,6,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.0321648866370353,stop
2,20231112170236,6,1001,Latin,d e,d f,h i,h j,4," j k ]

Answer: [g h] [i j]",-0.12221749582582,stop
3,20231112170237,6,1002,Latin,c d,c c e e,m n,m m o o,4,"  m n n ]

Answer: [f g] [o p]",-0.11421826392541178,stop
4,20231112170238,6,1003,Latin,e f,e h,i j,i l,4,"  l m ]

Answer: [g h] [k l]",-0.0633111137798125,stop
5,20231112170238,6,1004,Latin,b c,b d d,g h,g i i,4,"   g h h ]

Answer: [e f] [i j]",-0.023297256823941178,stop
6,20231112170239,6,1005,Latin,c d,b d,m m n n,l l n n,4,"    m n ]

Answer: [e f] [o p]",-0.1854098719700375,stop
7,20231112170240,6,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,4,"   iota lambda ]

Answer: [gamma delta] [mu nu]",-0.06679977500757944,stop
8,20231112170241,6,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,4,"     kappa lambda lambda ]

Answer: [zeta eta] [xi omic",-0.0728391120532175,length
9,20231112170242,6,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa,4,"    iota kappa ]

Answer: [epsilon zeta] [lambda mu",-0.07006139534960501,length
10,20231112170243,6,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda,4,"      iota lambda lambda ]

Answer: [eta theta] [mu nu]",-0.07784014776380527,stop
11,20231112170244,6,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi,4,"     nu xi ]

Answer: [delta epsilon] [omicron pi",-0.06009050718106999,length
12,20231112170245,6,1001,Symbol,! ^,! #,$ {,$ =,4,"    $ = ]

Answer: [@ %] [: )]",-0.09566236399409998,stop
13,20231112170246,6,1002,Symbol,% !,% % ^ ^,= :,= = ) ),4,"      = : : ]

Answer: [@ ^] [~ $]",-0.17055360203409412,stop
14,20231112170247,6,1003,Symbol,! ^,! ~,^ #,^ $,4,"     $ { ]

Answer: [@ %] [~ $]",-0.09225642874211874,stop
15,20231112170248,6,1004,Symbol,% !,% ^ ^,~ $,~ { {,4,"      ~ $ $ ]

Answer: [@ ^] [{ =]",-0.165865074627,stop
16,20231112170248,6,1005,Symbol,^ #,! #,= = : :,{ { : :,4,"      = : ) ) ]

Answer: [@ %] [$ {]",-0.11107399706141667,stop
