model,rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,item_prompt,response
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0,20241026194036,32,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,20241026194037,32,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",k
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,2,20241026194037,32,1001,Latin,a b,a c,g h,g i,1,"If a b changes to a c, what does g h change to ?",g i
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,3,20241026194038,32,1002,Latin,b c,b b d d,h i,h h j j,1,"If b c changes to b b d d, what does h i change to ?","k
j k k k
g i g"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,4,20241026194038,32,1003,Latin,c d,c f,g h,g j,1,"If c d changes to c f, what does g h change to ?","k
j l
g l"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,5,20241026194039,32,1004,Latin,b c,b d d,g h,g i i,1,"If b c changes to b d d, what does g h change to ?",k
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,6,20241026194040,32,1005,Latin,g h,f h,n n o o,m m o o,1,"If g h changes to f h, what does n n o o change to ?","k
j
g l
g h
"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,7,20241026194040,32,1001,Greek,alpha beta,alpha gamma,zeta eta,zeta theta,1,"If alpha beta changes to alpha gamma, what does zeta eta change to ?",gamma
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,8,20241026194041,32,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota,1,"If alpha beta changes to alpha alpha gamma gamma, what does eta theta change to ?","k
k k k
g i
j"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,9,20241026194041,32,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta,1,"If alpha beta changes to alpha delta, what does epsilon zeta change to ?",kappa
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,10,20241026194042,32,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda,1,"If delta epsilon changes to delta zeta zeta, what does iota kappa change to ?","k
k k k
kappa
k"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,11,20241026194043,32,1005,Greek,zeta eta,epsilon eta,kappa kappa lambda lambda,iota iota lambda lambda,1,"If zeta eta changes to epsilon eta, what does kappa kappa lambda lambda change to ?","kappa kappa lambda lambda
kappa kappa lambda"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,12,20241026194044,32,1001,Symbol,* @,* %,~ $,~ {,1,"If * @ changes to * %, what does ~ $ change to ?","k
g h
j l
g l"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,13,20241026194045,32,1002,Symbol,* @,* * % %,! ^,! ! # #,1,"If * @ changes to * * % %, what does ! ^ change to ?","k
k
kappa
kappa
"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,14,20241026194046,32,1003,Symbol,@ %,@ ^,% !,% #,1,"If @ % changes to @ ^, what does % ! change to ?",k ^
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,15,20241026194047,32,1004,Symbol,% !,% ^ ^,~ $,~ { {,1,"If % ! changes to % ^ ^, what does ~ $ change to ?","k
k
kappa
kappa
"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,16,20241026194047,32,1005,Symbol,~ $,# $,: : ) ),= = ) ),1,"If ~ $ changes to # $, what does : : ) ) change to ?",k : : )
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,0,20241026194049,32,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,1,20241026194051,32,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",j k k
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,2,20241026194052,32,1001,Latin,a b,a c,g h,g i,1,"If a b changes to a c, what does g h change to ?",g i
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,3,20241026194053,32,1002,Latin,b c,b b d d,h i,h h j j,1,"If b c changes to b b d d, what does h i change to ?",h h j j
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,4,20241026194053,32,1003,Latin,c d,c f,g h,g j,1,"If c d changes to c f, what does g h change to ?",g i
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,5,20241026194054,32,1004,Latin,b c,b d d,g h,g i i,1,"If b c changes to b d d, what does g h change to ?",g i i
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,6,20241026194055,32,1005,Latin,g h,f h,n n o o,m m o o,1,"If g h changes to f h, what does n n o o change to ?",m m o o
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,7,20241026194056,32,1001,Greek,alpha beta,alpha gamma,zeta eta,zeta theta,1,"If alpha beta changes to alpha gamma, what does zeta eta change to ?",zeta theta
