rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112173359,39,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04377503866291666,stop
1,20231112173400,39,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.032131262023611766,stop
2,20231112173401,39,1001,Latin,a b,a c,e f,e g,4," e g ]

Answer: [d] [h]",-0.08119439265245386,stop
3,20231112173401,39,1002,Latin,c d,c c e e,i j,i i k k,4,"  i i k k ]

Answer: [f g] [j j l l]",-0.042545196966932,length
4,20231112173402,39,1003,Latin,e f,e h,i j,i l,4,"  i l ]

Answer: [g] [m]",-0.05329434964314287,stop
5,20231112173403,39,1004,Latin,d e,d f f,g h,g i i,4,"   g h h ]

Answer: [g h] [i j j]",-0.060520910811888894,stop
6,20231112173404,39,1005,Latin,c d,b d,j j k k,i i k k,4,"   i k ]

Answer: [e] [l]",-0.15097054319842856,stop
7,20231112173405,39,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta,4,"   zeta theta ]

Answer: [epsilon] [iota]",-0.08013061571626473,stop
8,20231112173405,39,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa,4,"    theta theta kappa kappa ]

Answer: [epsilon f]",-0.05665618663304001,length
9,20231112173406,39,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa,4,"    eta iota ]

Answer: [epsilon] [kappa]",-0.025421478461189476,stop
10,20231112173407,39,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu,4,"     lambda mu mu ]

Answer: [epsilon] [nu nu]",-0.14234838634228889,stop
11,20231112173408,39,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta,4,"     xi eta ]

Answer: [delta] [omicron]",-0.14864253106963332,stop
12,20231112173409,39,1001,Symbol,* @,* %,^ #,^ ~,4,"   ^ ~ ]

Answer: [$] [{]",-0.07691499734977143,stop
13,20231112173410,39,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~,4,"    ^ ^ ~ ~ ]

Answer: [$ $] [{ { = =]",-0.08510594758248,length
14,20231112173411,39,1003,Symbol,! ^,! ~,^ #,^ $,4,"    ^ $ ]

Answer: [@] [{]",-0.07169477342040713,stop
15,20231112173412,39,1004,Symbol,! ^,! # #,$ {,$ = =,4,"     $ $ = = ]

Answer: [@] [~ ~ : :]",-0.11445346702710524,stop
16,20231112173412,39,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $,4,"      ^ $ ]

Answer: [^] [{]",-0.08854281943696429,stop
