rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112194738,53,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04218911382408333,stop
1,20231112194739,53,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.032139379099635296,stop
2,20231112194739,53,1001,Latin,d e,d f,h i,h j,4," h j ]

Answer: [g] [k]",-0.09072989133556156,stop
3,20231112194740,53,1002,Latin,b c,b b d d,h i,h h j j,4,"  h h j j ]

Answer: [e f] [e e g g]",-0.02314893183607,length
4,20231112194741,53,1003,Latin,e f,e h,i j,i l,4,"  i l ]

Answer: [g] [m]",-0.05774134980830714,stop
5,20231112194741,53,1004,Latin,d e,d f f,i j,i k k,4,"   i j k ]

Answer: [g] [l]",-0.08857123706086666,stop
6,20231112194742,53,1005,Latin,g h,f h,n n o o,m m o o,4,"   m o ]

Answer: [i j] [p q]",-0.15031290390001875,stop
7,20231112194742,53,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,4,"    iota lambda ]

Answer: [gamma delta] [mu nu]",-0.08566568476227777,stop
8,20231112194743,53,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota,4,"     epsilon theta ]

Answer: [delta epsilon] [z",-0.09432314948523998,length
9,20231112194744,53,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa,4,"      eta iota ]

Answer: [epsilon] [kappa]",-0.07972986192565264,stop
10,20231112194745,53,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu,4,"      lambda mu nu ]

Answer: [epsilon] [xi omicron]",-0.0768922923251,length
11,20231112194745,53,1005,Greek,zeta eta,epsilon eta,kappa kappa lambda lambda,iota iota lambda lambda,4,"      iota lambda ]

Answer: [gamma delta] [mu nu]",-0.12480924704963889,stop
12,20231112194746,53,1001,Symbol,! ^,! #,$ {,$ =,4,"    $ = ]

Answer: [@ %] [: )]",-0.12819534369785998,stop
13,20231112194747,53,1002,Symbol,* @,* * % %,! ^,! ! # #,4,"      ! # # ]

Answer: [$ {] [: ) : )]",-0.3290669560883111,stop
14,20231112194748,53,1003,Symbol,! ^,! ~,^ #,^ $,4,"     ^ $ $ ]

Answer: [@ %] [{ =]",-0.1044132798649353,stop
15,20231112194748,53,1004,Symbol,^ #,^ ~ ~,{ =,{ : :,4,"      { = : : ]

Answer: [@ %] [) ) ]",-0.1514711359736111,stop
16,20231112194749,53,1005,Symbol,~ $,# $,: : ) ),= = ) ),4,"      : ) ) ) ) ]

Answer: [{ =] [) ) ) ]",-0.11759991521311002,length
