rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112171035,17,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04377669631974999,stop
1,20231112171036,17,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.0314479943617647,stop
2,20231112171036,17,1001,Latin,d e,d f,h i,h j,4," h j ]

Answer: [g] [k]",-0.08354455408871539,stop
3,20231112171037,17,1002,Latin,d e,d d f f,j k,j j l l,4,"  j j k k ]

Answer: [g h] [g h h]",-0.029776261331300003,stop
4,20231112171038,17,1003,Latin,d e,d g,h i,h k,4,"  h m ]

Answer: [f] [k]",-0.14860173751397857,stop
5,20231112171038,17,1004,Latin,b c,b d d,g h,g i i,4,"   g h h ]

Answer: [e f] [e f f]",-0.03591384330701333,stop
6,20231112171039,17,1005,Latin,d e,c e,k k l l,j j l l,4,"   k l ]

Answer: [f] [m n]",-0.18704503675946008,stop
7,20231112171040,17,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,4,"    iota lambda ]

Answer: [gamma delta] [gamma mu]",-0.08965000366194893,stop
8,20231112171041,17,1002,Greek,gamma delta,gamma gamma epsilon epsilon,iota kappa,iota iota lambda lambda,4,"     iota iota lambda lambda ]

Answer: [eta zeta] [eta et",-0.118937582754105,length
9,20231112171042,17,1003,Greek,beta gamma,beta epsilon,zeta eta,zeta iota,4,"     zeta theta ]

Answer: [delta] [iota]",-0.05390297535850556,stop
10,20231112171042,17,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda,4,"      iota lambda lambda ]

Answer: [eta] [mu nu]",-0.06343368735180001,stop
11,20231112171043,17,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta,4,"      eta theta ]

Answer: [epsilon] [iota kappa",-0.03515081916101499,length
12,20231112171044,17,1001,Symbol,! ^,! #,$ {,$ =,4,"    $ = ]

Answer: [@ %] [@ :]",-0.064160122449375,stop
13,20231112171045,17,1002,Symbol,% !,% % ^ ^,# ~,# # $ $,4,"      # # ~ ~ ]

Answer: [@ $] [@ $ { {]",-0.08853915340603001,length
14,20231112171046,17,1003,Symbol,% !,% #,! ^,! ~,4,"     ! ~ ]

Answer: [@ $] [@ {]",-0.0774789852149125,stop
15,20231112171047,17,1004,Symbol,% !,% ^ ^,~ $,~ { {,4,"      ~ ~ $ { ]

Answer: [@ #] [@ # { {]",-0.10097078030118001,length
16,20231112171047,17,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {,4,"      $ { ]

Answer: [@ %] [@ =]",-0.11222893923961876,stop
