rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112170500,11,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.039436261719083335,stop
1,20231112170501,11,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.031598763716976466,stop
2,20231112170501,11,1001,Latin,c d,c e,g h,g i,4,"  i j ]

Answer: [f g] [k l]",-0.14042869177885625,stop
3,20231112170502,11,1002,Latin,e f,e e g g,k l,k k m m,4,"   k l l l ]

Answer: [h i] [m n n n]",-0.08011192092231997,length
4,20231112170503,11,1003,Latin,e f,e h,i j,i l,4,"   m n ]

Answer: [g h] [k l]",-0.054830264629914374,stop
5,20231112170503,11,1004,Latin,c d,c e e,h i,h j j,4,"    h i i ]

Answer: [f g] [j k k]",-0.019626976688096664,stop
6,20231112170505,11,1005,Latin,f g,e g,m m n n,l l n n,4,"    m n o o ]

Answer: [h i] [p q q q]",-0.09795858994054998,length
7,20231112170506,11,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa,4,"    kappa lambda ]

Answer: [gamma eta] [mu nu]",-0.10488395212240262,stop
8,20231112170507,11,1002,Greek,delta epsilon,delta delta zeta zeta,kappa lambda,kappa kappa mu mu,4,"     kappa lambda lambda lambda ]

Answer: [gamma eta] [mu nu",-0.07620485004781999,length
9,20231112170508,11,1003,Greek,gamma delta,gamma zeta,eta theta,eta kappa,4,"     iota kappa ]

Answer: [epsilon epsilon] [lambda",-0.059558230505962,length
10,20231112170509,11,1004,Greek,epsilon zeta,epsilon eta eta,kappa lambda,kappa mu mu,4,"      kappa lambda lambda lambda ]

Answer: [gamma delta] [mu nu nu",-0.045001700248769996,length
11,20231112170510,11,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa,4,"      kappa lambda lambda ]

Answer: [gamma eta] [mu nu]",-0.10499386703214504,length
12,20231112170511,11,1001,Symbol,% !,% ^,~ $,~ {,4,"    { = ]

Answer: [@ *] [: ) ]",-0.14157241427321873,stop
13,20231112170512,11,1002,Symbol,! ^,! ! # #,~ $,~ ~ { {,4,"      ~ $ $ $ ]

Answer: [@ *] [{ = = =]",-0.09542276283742998,length
14,20231112170512,11,1003,Symbol,! ^,! ~,^ #,^ $,4,"     $ { ]

Answer: [@ *] [= :]",-0.1256559275625875,stop
15,20231112170513,11,1004,Symbol,! ^,! # #,$ {,$ = =,4,"      $ { { ]

Answer: [@ *] [= : :]",-0.1112757795122389,stop
16,20231112170514,11,1005,Symbol,# ~,^ ~,= = : :,{ { : :,4,"      = : ) ) ]

Answer: [@ *] [$ { { {]",-0.15004531355715003,length
