rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112171920,28,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04332970316741666,stop
1,20231112171921,28,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.03214233372949412,stop
2,20231112171922,28,1001,Latin,a b,a c,g h,g i,4," g i ]

Answer: [d e] [d f]",-0.11480166956332669,stop
3,20231112171923,28,1002,Latin,f g,f f h h,l m,l l n n,4,"  l l m m ]

Answer: [i j] [i i k k]",-0.07079501689545001,length
4,20231112171924,28,1003,Latin,c d,c f,g h,g j,4,"  g j ]

Answer: [e f] [e i]",-0.0676606791498125,stop
5,20231112171924,28,1004,Latin,d e,d f f,i j,i k k,4,"   i k k ]

Answer: [g h] [g l l]",-0.034825354344794446,stop
6,20231112171924,28,1005,Latin,f g,e g,m m n n,l l n n,4,"   m o o ]

Answer: [h i] [l n n]",-0.1001309718572611,stop
7,20231112171925,28,1001,Greek,alpha beta,alpha gamma,zeta eta,zeta theta,4,"   zeta theta ]

Answer: [delta epsilon] [delta",-0.043323267255021496,length
8,20231112171926,28,1002,Greek,epsilon zeta,epsilon epsilon eta eta,lambda mu,lambda lambda nu nu,4,"    lambda lambda nu nu ]

Answer: [theta iota] [theta the",-0.07021059847797,length
9,20231112171927,28,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta,4,"    epsilon eta ]

Answer: [gamma gamma] [gamma the",-0.10040160783824,length
10,20231112171928,28,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu,4,"     lambda nu nu ]

Answer: [iota kappa] [iota omic",-0.07118529824817002,length
11,20231112171929,28,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa,4,"     iota lambda lambda ]

Answer: [eta eta] [mu nu nu]",-0.11115199278299001,length
12,20231112171929,28,1001,Symbol,* @,* %,~ $,~ {,4,"   ~ { ]

Answer: [! ^] [! =]",-0.06432741206408125,stop
13,20231112171930,28,1002,Symbol,^ #,^ ^ ~ ~,$ {,$ $ = =,4,"    $ = = ]

Answer: [!: !] [!: : :]",-0.16598204607785558,stop
14,20231112171931,28,1003,Symbol,@ %,@ ^,% !,% #,4,"    % # ]

Answer: [$ ~] [$ ~]",-0.09826039289120625,stop
15,20231112171932,28,1004,Symbol,^ #,^ ~ ~,{ =,{ : :,4,"     { : : ]

Answer: [$ $] [$ ) )]",-0.0743300696385,stop
16,20231112171933,28,1005,Symbol,# ~,^ ~,= = : :,{ { : :,4,"      = ) ) ]

Answer: [$ $] [!: !]",-0.1975782592709765,stop
