model,rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,item_prompt,response
claude-3-5-sonnet-20241022,0,20241026201810,35,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
claude-3-5-sonnet-20241022,1,20241026201811,35,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",j k k
claude-3-5-sonnet-20241022,2,20241026201812,35,1001,Latin,d e,d f,h i,h j,1,"If d e changes to d f, what does h i change to ?",h j
claude-3-5-sonnet-20241022,3,20241026201812,35,1002,Latin,c d,c c e e,i j,i i k k,1,"If c d changes to c c e e, what does i j change to ?",i i k k
claude-3-5-sonnet-20241022,4,20241026201813,35,1003,Latin,c d,c f,g h,g j,1,"If c d changes to c f, what does g h change to ?",g k
claude-3-5-sonnet-20241022,5,20241026201814,35,1004,Latin,e f,e g g,j k,j l l,1,"If e f changes to e g g, what does j k change to ?",j l l
claude-3-5-sonnet-20241022,6,20241026201814,35,1005,Latin,d e,c e,k k l l,j j l l,1,"If d e changes to c e, what does k k l l change to ?",j k l l
claude-3-5-sonnet-20241022,7,20241026201815,35,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?",iota lambda
claude-3-5-sonnet-20241022,8,20241026201817,35,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa,1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?",theta theta kappa kappa
claude-3-5-sonnet-20241022,9,20241026201818,35,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta,1,"If alpha beta changes to alpha delta, what does epsilon zeta change to ?",epsilon theta
claude-3-5-sonnet-20241022,10,20241026201819,35,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi,1,"If eta theta changes to eta iota iota, what does mu nu change to ?",mu xi xi
claude-3-5-sonnet-20241022,11,20241026201820,35,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta,1,"If gamma delta changes to beta delta, what does eta eta theta theta change to ?",zeta eta theta theta
claude-3-5-sonnet-20241022,12,20241026201821,35,1001,Symbol,! ^,! #,$ {,$ =,1,"If ! ^ changes to ! #, what does $ { change to ?",$ =
claude-3-5-sonnet-20241022,13,20241026201822,35,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~,1,"If @ % changes to @ @ ! !, what does ^ # change to ?",^ ^ ~ ~
claude-3-5-sonnet-20241022,14,20241026201823,35,1003,Symbol,@ %,@ ^,% !,% #,1,"If @ % changes to @ ^, what does % ! change to ?",% #
claude-3-5-sonnet-20241022,15,20241026201824,35,1004,Symbol,# ~,# $ $,= :,= ) ),1,"If # ~ changes to # $ $, what does = : change to ?",= ) )
claude-3-5-sonnet-20241022,16,20241026201825,35,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {,1,"If ! ^ changes to % ^, what does $ $ { { change to ?",$ $ { {
claude-3-sonnet-20240229,0,20241026201826,35,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
claude-3-sonnet-20240229,1,20241026201827,35,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",j j k
claude-3-sonnet-20240229,2,20241026201827,35,1001,Latin,d e,d f,h i,h j,1,"If d e changes to d f, what does h i change to ?",h j
claude-3-sonnet-20240229,3,20241026201828,35,1002,Latin,c d,c c e e,i j,i i k k,1,"If c d changes to c c e e, what does i j change to ?",i i k k
claude-3-sonnet-20240229,4,20241026201828,35,1003,Latin,c d,c f,g h,g j,1,"If c d changes to c f, what does g h change to ?",i j
claude-3-sonnet-20240229,5,20241026201829,35,1004,Latin,e f,e g g,j k,j l l,1,"If e f changes to e g g, what does j k change to ?",j l l
claude-3-sonnet-20240229,6,20241026201830,35,1005,Latin,d e,c e,k k l l,j j l l,1,"If d e changes to c e, what does k k l l change to ?",j j l l
claude-3-sonnet-20240229,7,20241026201831,35,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,1,"If epsilon zeta changes to epsilon eta, what does iota kappa change to ?",iota lambda
claude-3-sonnet-20240229,8,20241026201832,35,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa,1,"If beta gamma changes to beta beta delta delta, what does theta iota change to ?",theta theta kappa kappa
claude-3-sonnet-20240229,9,20241026201833,35,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta,1,"If alpha beta changes to alpha delta, what does epsilon zeta change to ?",gamma delta
