rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112172604,34,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04172575477991666,stop
1,20231112172605,34,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.031004438743688235,stop
2,20231112172606,34,1001,Latin,d e,d f,h i,h j,4," j k ]

Answer: [g h] [i j]",-0.11683360693962,stop
3,20231112172606,34,1002,Latin,c d,c c e e,i j,i i k k,4,"  i i k k ]

Answer: [f g] [j j l l]",-0.09291931622186998,length
4,20231112172607,34,1003,Latin,f g,f i,j k,j m,4,"  m n ]

Answer: [h i] [o p]",-0.04311910288773125,stop
5,20231112172608,34,1004,Latin,d e,d f f,g h,g i i,4,"   h i i ]

Answer: [j k] [k l l]",-0.12069828817771334,stop
6,20231112172609,34,1005,Latin,c d,b d,j j k k,i i k k,4,"   m m n n ]

Answer: [e f] [o p q q]",-0.17953615706541504,length
7,20231112172610,34,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,4,"   lambda mu ]

Answer: [theta iota] [nu xi]",-0.09555403861928946,stop
8,20231112172611,34,1002,Greek,beta gamma,beta beta delta delta,theta iota,theta theta kappa kappa,4,"    kappa kappa lambda lambda ]

Answer: [epsilon zeta] [",-0.049946367938649996,length
9,20231112172612,34,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda,4,"    kappa lambda ]

Answer: [zeta eta] [mu nu]",-0.02890291378013948,stop
10,20231112172612,34,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu,4,"     nu xi xi ]

Answer: [phi chi] [omicron pi pi",-0.11923454321171997,length
11,20231112172613,34,1005,Greek,beta gamma,alpha gamma,zeta zeta eta eta,epsilon epsilon eta eta,4,"      theta theta iota iota ]

Answer: [delta delta] [",-0.06179005245293001,length
12,20231112172614,34,1001,Symbol,! ^,! #,$ {,$ =,4,"    % ! ]

Answer: [@ =] [^ ~]",-0.16888015820220625,stop
13,20231112172615,34,1002,Symbol,@ %,@ @ ! !,^ #,^ ^ ~ ~,4,"     ~ $ $ ]

Answer: [= :] [{ ) )]",-0.1282109518943056,stop
14,20231112172616,34,1003,Symbol,^ #,^ $,# ~,# {,4,"     % ! ]

Answer: [@ =] [{ ) ]",-0.2483188205670625,stop
15,20231112172617,34,1004,Symbol,! ^,! # #,$ {,$ = =,4,"     % ! ! ]

Answer: [@ =] [^ ~ ~]",-0.061120752909611116,stop
16,20231112172618,34,1005,Symbol,% !,@ !,~ ~ $ $,# # $ $,4,"      { = = ]

Answer: [^ #] [): )]",-0.28479939521274117,stop
