rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112170820,15,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.040042089286416664,stop
1,20231112170821,15,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.03075096227062941,stop
2,20231112170822,15,1001,Latin,a b,a c,e f,e g,4," e g ]

Answer: [d] [h]",-0.07645510028568461,stop
3,20231112170822,15,1002,Latin,c d,c c e e,m n,m m o o,4,"  m m o o ]

Answer: [f g] [n n p p]",-0.04352044910087,length
4,20231112170823,15,1003,Latin,f g,f i,j k,j m,4,"  j m ]

Answer: [h] [n]",-0.03728722756647858,stop
5,20231112170824,15,1004,Latin,e f,e g g,j k,j l l,4,"   j k l ]

Answer: [h i] [m n]",-0.07070333529494705,stop
6,20231112170825,15,1005,Latin,c d,b d,m m n n,l l n n,4,"   m n o o ]

Answer: [e f] [p p]",-0.14793433855558888,stop
7,20231112170825,15,1001,Greek,beta gamma,beta delta,zeta eta,zeta theta,4,"   zeta theta ]

Answer: [epsilon] [iota]",-0.04392537856678368,stop
8,20231112170826,15,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,4,"    kappa lambda mu mu ]

Answer: [zeta eta] [nu nu",-0.079867424358245,length
9,20231112170827,15,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda,4,"    theta kappa ]

Answer: [zeta] [lambda]",-0.021390916376241173,stop
10,20231112170828,15,1004,Greek,eta theta,eta iota iota,mu nu,mu xi xi,4,"     mu nu xi xi ]

Answer: [zeta] [omicron o",-0.05674609186511,length
11,20231112170829,15,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi,4,"     nu xi omicron omicron ]

Answer: [delta] [",-0.07355315074562499,length
12,20231112170830,15,1001,Symbol,* @,* %,^ #,^ ~,4,"   ^ ~ ]

Answer: [$] [{]",-0.11836663027685713,stop
13,20231112170831,15,1002,Symbol,% !,% % ^ ^,= :,= = ) ),4,"    = = ~ ~ ]

Answer: [@] [# #]",-0.21110126181015296,stop
14,20231112170831,15,1003,Symbol,^ #,^ $,# ~,# {,4,"    # { ]

Answer: [$] [=]",-0.022922858569946157,stop
15,20231112170832,15,1004,Symbol,# ~,# $ $,= :,= ) ),4,"     = : : ]

Answer: [~] [) )]",-0.0998776719703125,stop
16,20231112170833,15,1005,Symbol,^ #,! #,= = : :,{ { : :,4,"      = : ) ) ]

Answer: [$] [~ ~]",-0.08500466135489412,stop
