rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112172802,36,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04332969175074999,stop
1,20231112172803,36,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.03219820134905883,stop
2,20231112172803,36,1001,Latin,b c,b d,f g,f h,4," f h ]

Answer: [a e] [a g]",-0.17811887369836663,stop
3,20231112172804,36,1002,Latin,c d,c c e e,m n,m m o o,4,"  m m o o ]

Answer: [a b] [a b f f]",-0.0913025290414,length
4,20231112172805,36,1003,Latin,e f,e h,k l,k n,4,"  k n ]

Answer: [a b] [a d]",-0.0724836260539375,stop
5,20231112172806,36,1004,Latin,b c,b d d,g h,g i i,4,"  g h h ]

Answer: [a e] [a f f]",-0.05792771361263333,stop
6,20231112172806,36,1005,Latin,c d,b d,m m n n,l l n n,4,"   m n ]

Answer: [a e] [a f]",-0.11426416002433126,stop
7,20231112172807,36,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota,4,"   eta iota ]

Answer: [alpha beta] [alpha zeta]",-0.044463622164171046,stop
8,20231112172808,36,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,4,"    kappa kappa lambda lambda ]

Answer: [alpha beta] [alpha beta mu",-0.055301015214485015,length
9,20231112172809,36,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu,4,"    iota lambda ]

Answer: [alpha beta] [alpha gamma]",-0.04646268363636471,stop
10,20231112172810,36,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda,4,"     iota lambda lambda ]

Answer: [alpha beta] [alpha gamma mu]",-0.0523081115904,stop
11,20231112172812,36,1005,Greek,beta gamma,alpha gamma,nu nu xi xi,mu mu xi xi,4,"      nu xi ]

Answer: [delta epsilon] [delta o",-0.0648784655351825,length
12,20231112172813,36,1001,Symbol,@ %,@ !,# ~,# $,4,"   # $ ]

Answer: [* ^] [* {]",-0.11354562828332142,stop
13,20231112172814,36,1002,Symbol,% !,% % ^ ^,= :,= = ) ),4,"    = = ) ) ]

Answer: [* @] [* @ $ {]",-0.08360199354305554,stop
14,20231112172815,36,1003,Symbol,@ %,@ ^,# ~,# {,4,"    # $ ]

Answer: [* !] [* {]",-0.014796831711450001,stop
15,20231112172815,36,1004,Symbol,% !,% ^ ^,~ $,~ { {,4,"     ~ $ { ]

Answer: [* @] [* # = :]",-0.22284020125782356,stop
16,20231112172817,36,1005,Symbol,^ #,! #,= = : :,{ { : :,4,"      = : ) ) ]

Answer: [* @ %] [* @ % $ {]",-0.12770020863687498,length
