rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112171748,25,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04377669631974999,stop
1,20231112171748,25,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.03219820134905883,stop
2,20231112171749,25,1001,Latin,c d,c e,g h,g i,4,"  i j ]

Answer: [f g] [k l]",-0.13549528704616248,stop
3,20231112171750,25,1002,Latin,c d,c c e e,m n,m m o o,4,"   m n n o ]

Answer: [f g] [p q r]",-0.14765521183363162,stop
4,20231112171750,25,1003,Latin,c d,c f,g h,g j,4,"   i l ]

Answer: [e f] [j k]",-0.1309749921677275,stop
5,20231112171751,25,1004,Latin,b c,b d d,g h,g i i,4,"   g h h ]

Answer: [e f] [i j j]",-0.08104513982827777,stop
6,20231112171753,25,1005,Latin,g h,f h,n n o o,m m o o,4,"    m o ]

Answer: [i j] [p q]",-0.2123439423236625,stop
7,20231112171753,25,1001,Greek,delta epsilon,delta zeta,theta iota,theta kappa,4,"    kappa lambda ]

Answer: [gamma eta] [mu nu]",-0.06523140109960998,stop
8,20231112171755,25,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,4,"     kappa lambda lambda mu mu ]

Answer: [eta zeta] [nu x",-0.1131029701548025,length
9,20231112171756,25,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta,4,"     eta theta ]

Answer: [gamma gamma] [iota iota",-0.113111823432155,length
10,20231112171757,25,1004,Greek,delta epsilon,delta zeta zeta,iota kappa,iota lambda lambda,4,"      kappa lambda lambda ]

Answer: [gamma eta] [mu nu nu",-0.08620288317121498,length
11,20231112171757,25,1005,Greek,zeta eta,epsilon eta,kappa kappa lambda lambda,iota iota lambda lambda,4,"      mu nu nu omicron ]

Answer: [theta theta] [xi",-0.181083618232885,length
12,20231112171758,25,1001,Symbol,% !,% ^,~ $,~ {,4,"    { = ]

Answer: [@ *] [: )]",-0.15373908246583126,stop
13,20231112171759,25,1002,Symbol,% !,% % ^ ^,= :,= = ) ),4,"     { = = : : ) ) ]

Answer: [@ *] [# ~",-0.13549903417043,length
14,20231112171800,25,1003,Symbol,@ %,@ ^,% !,% #,4,"     ^ # ]

Answer: [* !] [~ $]",-0.0511682585768,stop
15,20231112171801,25,1004,Symbol,% !,% ^ ^,~ $,~ { {,4,"     { = = ]

Answer: [@ *] [: :)]",-0.0895756079149,stop
16,20231112171802,25,1005,Symbol,~ $,# $,: : ) ),= = ) ),4,"     { = = : ) ]

Answer: [% !] [^ #]",-0.25048664051217895,stop
