model,rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,item_prompt,response
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,0,20241026193447,28,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,1,20241026193448,28,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",k
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,2,20241026193448,28,1001,Latin,a b,a c,g h,g i,1,"If a b changes to a c, what does g h change to ?",g i
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,3,20241026193449,28,1002,Latin,f g,f f h h,l m,l l n n,1,"If f g changes to f f h h, what does l m change to ?","k
j k k k
g i
"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,4,20241026193450,28,1003,Latin,c d,c f,g h,g j,1,"If c d changes to c f, what does g h change to ?",k l
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,5,20241026193450,28,1004,Latin,d e,d f f,i j,i k k,1,"If d e changes to d f f, what does i j change to ?","k l
j k"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,6,20241026193450,28,1005,Latin,f g,e g,m m n n,l l n n,1,"If f g changes to e g, what does m m n n change to ?",k l
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,7,20241026193451,28,1001,Greek,alpha beta,alpha gamma,zeta eta,zeta theta,1,"If alpha beta changes to alpha gamma, what does zeta eta change to ?",kappa
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,8,20241026193452,28,1002,Greek,epsilon zeta,epsilon epsilon eta eta,lambda mu,lambda lambda nu nu,1,"If epsilon zeta changes to epsilon epsilon eta eta, what does lambda mu change to ?","kappa
kappa lambda"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,9,20241026193452,28,1003,Greek,alpha beta,alpha delta,epsilon zeta,epsilon theta,1,"If alpha beta changes to alpha delta, what does epsilon zeta change to ?",kappa gamma
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,10,20241026193453,28,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu,1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?","kappa nu
kappa sigma
kappa"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,11,20241026193453,28,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa,1,"If epsilon zeta changes to delta zeta, what does iota iota kappa kappa change to ?",kappa lambda
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,12,20241026193454,28,1001,Symbol,* @,* %,~ $,~ {,1,"If * @ changes to * %, what does ~ $ change to ?",k
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,13,20241026193454,28,1002,Symbol,^ #,^ ^ ~ ~,$ {,$ $ = =,1,"If ^ # changes to ^ ^ ~ ~, what does $ { change to ?","k
g i
k l
j k"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,14,20241026193455,28,1003,Symbol,@ %,@ ^,% !,% #,1,"If @ % changes to @ ^, what does % ! change to ?","k
k l
kappa
kappa"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,15,20241026193455,28,1004,Symbol,^ #,^ ~ ~,{ =,{ : :,1,"If ^ # changes to ^ ~ ~, what does { = change to ?","k
k
k
k
k
"
meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo,16,20241026193456,28,1005,Symbol,# ~,^ ~,= = : :,{ { : :,1,"If # ~ changes to ^ ~, what does = = : : change to ?",k : :
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,0,20241026193456,28,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo,1,20241026193457,28,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",j k k
