rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112172443,33,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04332969175074999,stop
1,20231112172443,33,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.03219820134905883,stop
2,20231112172444,33,1001,Latin,d e,d f,h i,h j,4," h j ]

Answer: [g] [k]",-0.08524918563717694,stop
3,20231112172445,33,1002,Latin,b c,b b d d,h i,h h j j,4,"  h h j j ]

Answer: [e f] [e e g g]",-0.023559156227219998,length
4,20231112172446,33,1003,Latin,g h,g j,k l,k n,4,"  k m ]

Answer: [i] [n]",-0.021108373205499995,stop
5,20231112172446,33,1004,Latin,a b,a c c,f g,f h h,4,"   f h h ]

Answer: [d e] [d e e]",-0.036199336972555556,stop
6,20231112172447,33,1005,Latin,d e,c e,k k l l,j j l l,4,"   k m m ]

Answer: [f g] [j n]",-0.1985382508306059,stop
7,20231112172448,33,1001,Greek,epsilon zeta,epsilon eta,iota kappa,iota lambda,4,"   iota lambda ]

Answer: [gamma delta] [mu nu]",-0.13623995765449054,stop
8,20231112172449,33,1002,Greek,alpha beta,alpha alpha gamma gamma,eta theta,eta eta iota iota,4,"    eta eta iota iota ]

Answer: [delta epsilon",-0.024137214048579998,length
9,20231112172450,33,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu,4,"    iota mu ]

Answer: [gamma delta] [nu xi]",-0.08922994295846315,stop
10,20231112172451,33,1004,Greek,gamma delta,gamma epsilon epsilon,theta iota,theta kappa kappa,4,"     theta theta kappa kappa ]

Answer: [eta zeta] [",-0.050178511101525006,length
11,20231112172452,33,1005,Greek,gamma delta,beta delta,eta eta theta theta,zeta zeta theta theta,4,"      eta iota iota ]

Answer: [epsilon zeta] [",-0.040932956752145006,length
12,20231112172453,33,1001,Symbol,! ^,! #,$ {,$ =,4,"    $ = ]

Answer: [@ %] [: )]",-0.10834684580765624,stop
13,20231112172454,33,1002,Symbol,* @,* * % %,! ^,! ! # #,4,"     ! ! # # ]

Answer: [% !] [^ ~]",-0.0728520279235111,stop
14,20231112172455,33,1003,Symbol,# ~,# {,~ $,~ =,4,"     ~ = ]

Answer: [$ {] [: )]",-0.07648886621948,stop
15,20231112172456,33,1004,Symbol,@ %,@ ! !,# ~,# $ $,4,"      # # { { ]

Answer: [^ $] [= :)]",-0.10663296664769999,stop
16,20231112172456,33,1005,Symbol,! ^,% ^,$ $ { {,~ ~ { {,4,"      $ = = ]

Answer: [@ !] [: :)]",-0.09143291782397059,stop
