model,rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,item_prompt,response
claude-3-5-sonnet-20241022,0,20241026202708,52,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
claude-3-5-sonnet-20241022,1,20241026202709,52,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",j k k
claude-3-5-sonnet-20241022,2,20241026202710,52,1001,Latin,b c,b d,f g,f h,1,"If b c changes to b d, what does f g change to ?",f h
claude-3-5-sonnet-20241022,3,20241026202710,52,1002,Latin,c d,c c e e,m n,m m o o,1,"If c d changes to c c e e, what does m n change to ?",m m n n
claude-3-5-sonnet-20241022,4,20241026202711,52,1003,Latin,g h,g j,k l,k n,1,"If g h changes to g j, what does k l change to ?",k m
claude-3-5-sonnet-20241022,5,20241026202711,52,1004,Latin,d e,d f f,i j,i k k,1,"If d e changes to d f f, what does i j change to ?",i j j
claude-3-5-sonnet-20241022,6,20241026202712,52,1005,Latin,e f,d f,l l m m,k k m m,1,"If e f changes to d f, what does l l m m change to ?",k k l l
claude-3-5-sonnet-20241022,7,20241026202714,52,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota,1,"If gamma delta changes to gamma epsilon, what does eta theta change to ?",eta iota
claude-3-5-sonnet-20241022,8,20241026202715,52,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?",kappa kappa lambda lambda
claude-3-5-sonnet-20241022,9,20241026202716,52,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu,1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?",iota lambda
claude-3-5-sonnet-20241022,10,20241026202717,52,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu,1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?",lambda mu mu
claude-3-5-sonnet-20241022,11,20241026202718,52,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota,1,"If delta epsilon changes to gamma epsilon, what does theta theta iota iota change to ?",eta eta theta theta
claude-3-5-sonnet-20241022,12,20241026202719,52,1001,Symbol,@ %,@ !,# ~,# $,1,"If @ % changes to @ !, what does # ~ change to ?",# $
claude-3-5-sonnet-20241022,13,20241026202720,52,1002,Symbol,% !,% % ^ ^,= :,= = ) ),1,"If % ! changes to % % ^ ^, what does = : change to ?",= = ) )
claude-3-5-sonnet-20241022,14,20241026202720,52,1003,Symbol,# ~,# {,~ $,~ =,1,"If # ~ changes to # {, what does ~ $ change to ?",~ {
claude-3-5-sonnet-20241022,15,20241026202721,52,1004,Symbol,^ #,^ ~ ~,{ =,{ : :,1,"If ^ # changes to ^ ~ ~, what does { = change to ?",{ = =
claude-3-5-sonnet-20241022,16,20241026202722,52,1005,Symbol,^ #,! #,{ { = =,$ $ = =,1,"If ^ # changes to ! #, what does { { = = change to ?",! ! ) )
claude-3-sonnet-20240229,0,20241026202723,52,101,Latin,a,b,j,k,1,"If a changes to b, what does j change to ?",k
claude-3-sonnet-20240229,1,20241026202723,52,102,Latin,c d,c d d,j k,j k k,1,"If c d changes to c d d, what does j k change to ?",j k k
claude-3-sonnet-20240229,2,20241026202724,52,1001,Latin,b c,b d,f g,f h,1,"If b c changes to b d, what does f g change to ?",f h
claude-3-sonnet-20240229,3,20241026202724,52,1002,Latin,c d,c c e e,m n,m m o o,1,"If c d changes to c c e e, what does m n change to ?",m m o o
claude-3-sonnet-20240229,4,20241026202725,52,1003,Latin,g h,g j,k l,k n,1,"If g h changes to g j, what does k l change to ?",k n
claude-3-sonnet-20240229,5,20241026202726,52,1004,Latin,d e,d f f,i j,i k k,1,"If d e changes to d f f, what does i j change to ?",i k k
claude-3-sonnet-20240229,6,20241026202726,52,1005,Latin,e f,d f,l l m m,k k m m,1,"If e f changes to d f, what does l l m m change to ?",k k l l
claude-3-sonnet-20240229,7,20241026202727,52,1001,Greek,gamma delta,gamma epsilon,eta theta,eta iota,1,"If gamma delta changes to gamma epsilon, what does eta theta change to ?",zeta iota
claude-3-sonnet-20240229,8,20241026202728,52,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,1,"If gamma delta changes to gamma gamma epsilon epsilon, what does kappa lambda change to ?",kappa kappa mu mu
claude-3-sonnet-20240229,9,20241026202729,52,1003,Greek,epsilon zeta,epsilon theta,iota kappa,iota mu,1,"If epsilon zeta changes to epsilon theta, what does iota kappa change to ?",iota nu
claude-3-sonnet-20240229,10,20241026202730,52,1004,Greek,zeta eta,zeta theta theta,lambda mu,lambda nu nu,1,"If zeta eta changes to zeta theta theta, what does lambda mu change to ?",lambda nu nu
claude-3-sonnet-20240229,11,20241026202731,52,1005,Greek,delta epsilon,gamma epsilon,theta theta iota iota,eta eta iota iota,1,"If delta epsilon changes to gamma epsilon, what does theta theta iota iota change to ?",theta iota kappa kappa
claude-3-sonnet-20240229,12,20241026202732,52,1001,Symbol,@ %,@ !,# ~,# $,1,"If @ % changes to @ !, what does # ~ change to ?",# $
claude-3-sonnet-20240229,13,20241026202733,52,1002,Symbol,% !,% % ^ ^,= :,= = ) ),1,"If % ! changes to % % ^ ^, what does = : change to ?",= = : :
claude-3-sonnet-20240229,14,20241026202734,52,1003,Symbol,# ~,# {,~ $,~ =,1,"If # ~ changes to # {, what does ~ $ change to ?",} %
