rowid,timestamp,testletid,itemid,alphabet,A,B,C,D,template_nr,response,logprob,finish_reason
0,20231112171156,19,101,Latin,a,b,j,k,4," k ]

Answer: [c] [l]",-0.04332969175074999,stop
1,20231112171157,19,102,Latin,c d,c d d,j k,j k k,4," j k k ]

Answer: [e f] [e f f]",-0.030842831321276482,stop
2,20231112171158,19,1001,Latin,e f,e g,i j,i k,4,"  k l ]

Answer: [h] [f]",-0.21002195308939994,stop
3,20231112171158,19,1002,Latin,c d,c c e e,m n,m m o o,4,"  m n n ]

Answer: [f g] [f g g]",-0.17633585273679997,stop
4,20231112171159,19,1003,Latin,f g,f i,j k,j m,4,"   l m ]

Answer: [h] [n]",-0.04801094583060001,stop
5,20231112171200,19,1004,Latin,d e,d f f,g h,g i i,4,"   g h h ]

Answer: [i j] [i j j]",-0.03378947038204111,stop
6,20231112171200,19,1005,Latin,f g,e g,m m n n,l l n n,4,"    o p ]

Answer: [h] [q]",-0.1734824304425285,stop
7,20231112171201,19,1001,Greek,zeta eta,zeta theta,kappa lambda,kappa mu,4,"   mu nu ]

Answer: [epsilon] [xi]",-0.09802796190516251,stop
8,20231112171202,19,1002,Greek,gamma delta,gamma gamma epsilon epsilon,kappa lambda,kappa kappa mu mu,4,"    kappa lambda lambda ]

Answer: [zeta eta] [zeta et",-0.037920336343364995,length
9,20231112171202,19,1003,Greek,delta epsilon,delta eta,theta iota,theta lambda,4,"    kappa lambda ]

Answer: [zeta] [mu]",-0.06883574639536874,stop
10,20231112171203,19,1004,Greek,eta theta,eta iota iota,lambda mu,lambda nu nu,4,"     lambda mu mu ]

Answer: [zeta] [nu]",-0.06865155675681249,stop
11,20231112171204,19,1005,Greek,epsilon zeta,delta zeta,iota iota kappa kappa,theta theta kappa kappa,4,"     lambda mu mu ]

Answer: [eta] [nu]",-0.14245824928930667,stop
12,20231112171205,19,1001,Symbol,^ #,^ ~,{ =,{ :,4,"    : ) ]

Answer: [* @] [$ %]",-0.08243122149178664,stop
13,20231112171206,19,1002,Symbol,% !,% % ^ ^,= :,= = ) ),4,"     = : : ]

Answer: [# ~] [# ~ ~]",-0.04186703287972222,stop
14,20231112171206,19,1003,Symbol,^ #,^ $,# ~,# {,4,"     { = ]

Answer: [* @] [: )]",-0.11426349610696429,stop
15,20231112171207,19,1004,Symbol,! ^,! # #,$ {,$ = =,4,"      $ { { ]

Answer: [% ~] [% ~ ~]",-0.01705816302446111,stop
16,20231112171208,19,1005,Symbol,# ~,^ ~,= = : :,{ { : :,4,"      ) ) ) ]

Answer: [* @] [$ %]",-0.1568772687457125,stop
